copium,ground_density,moist,reflectivity,silicon_rate,oxygen_rate,iron_rate,aluminium_rate,magnesium_rate,undetectable
0,0.698213081962724,0.11775888920169021,0.331727202549726,0.12934582795034125,0.006715668800821012,0.7013023684391102,0.1323291293458916,0.01069874305967938,0.01960826240415658
1,1.7102972598782644,0.270160842201282,0.06425552593358416,0.3497846129312598,0.09116847607762342,0.0794658128925054,0.28501816541776687,0.10752690994647858,0.08703602273436589
1,1.4072700952815165,0.2395105422122746,0.013333040087234349,0.03285863553239464,0.020276611194442337,0.5771688657615542,0.2993782316644276,0.034968084109307775,0.03534957173787336
0,0.8829484435014696,0.23979265186037516,0.3914534744121007,0.12421634605256801,0.04580287916162886,0.5824961594243288,0.20226453253596458,0.0304713554155673,0.014748727409942436
1,2.84406595547024,0.10469113059905877,0.46865890111205566,0.16513585468811304,0.01809193755546758,0.14429283321694927,0.5411629129888205,0.08100720566482127,0.05030925588582848
0,2.111166151114139,0.07177751783544123,0.041393880505441016,0.014564724678714759,0.02305695436214514,0.6705149267183339,0.13409726316895929,0.08036262177448793,0.07740350929735901
0,0.75761584581226,0.0971100674506357,0.4257492840599219,0.07674624844604314,0.04803441676917001,0.49216823784023145,0.18814874839968806,0.12343519241887514,0.0714671561259923
0,1.590970320951334,0.23151270210334224,0.27734969482731625,0.03187684507455935,0.024361566708127117,0.34438231853066875,0.5197566603549159,0.016833835121414915,0.06278877421031404
1,2.3178208070422333,0.082650078590835,0.5730203115657918,0.2669341969448955,0.0704691967912376,0.273267891038919,0.15660214237662773,0.15413131295367707,0.07859525989464301
0,0.9494324839755759,0.20801712824403643,0.4435804119235249,0.3278617644142042,0.08313119973824701,0.16912321603339092,0.2863136302432594,0.11013791878104047,0.02343227078985792
0,0.7148987161983397,0.0068652610334405725,0.5364517799998699,0.04116954495701075,0.059004393715835095,0.5511347739688867,0.22684539866350284,0.11237328256981165,0.009472606124953048
0,1.443426301796133,0.0982536629491928,0.297240873009743,0.09593156449980958,0.0789279657758062,0.3948061786828073,0.3600984412508888,0.03315038588417343,0.03708546390651458
0,1.2726323858656943,0.15360660856942732,0.412165655621555,0.07114186963105647,0.02427810504593359,0.4618700162291235,0.355190386979956,0.050743105433763376,0.03677651668016711
1,2.4954413416649217,0.1470050696280805,0.17960345922124119,0.3392904070777214,0.06945939848092228,0.3122914094234906,0.06365704107491986,0.10199380162705814,0.11330794231588785
0,0.4,0.2377172653184987,0.06962568979070584,0.16430075528231294,0.011910433930645734,0.4866620307669465,0.2520160052130698,0.042237377247853695,0.04287339755917123
0,2.705755885731451,0.1326210749175119,0.1500027551786133,0.12017683700776192,0.0007898649822961182,0.6103645291859767,0.20617129972483508,0.03480730253072131,0.027690166568408923
0,0.4,0.1616855182578348,0.5128596611843526,0.153328212603692,0.03817170002709818,0.42146871767452304,0.08828533417286875,0.2702650839198957,0.028480951601922305
0,1.14467528442604,0.21140075630612118,0.42528409538482953,0.2607029146387407,0.03866708079729166,0.05401272633289921,0.42025253917630956,0.15476041628911957,0.07160432276563934
1,1.563785889336633,0.021263442472227365,0.5830585390352635,0.13574697167880115,0.10095455789315198,0.34204391917619775,0.28854518835505283,0.06591979500245884,0.06678956789433732
0,1.1809312148322366,0.17536360028738104,0.19696317000580088,0.023864025765242377,0.05944169965456632,0.6515793281471918,0.10523535207608695,0.113283409311974,0.04659618504493853
